Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
1/2/2012,182,185,178.65,183.8,181.7706991,1881602,18215,342020111,460363,24.47,6.35,1.8
1/3/2012,186.05,194.6,186.05,193.9,191.3257519,2444099,23307,467619079,663107,27.13,8.55,7.85
1/4/2012,193.1,202,193.1,200.45,198.8192623,3614033,32219,718539375,933544,25.83,8.9,7.35
1/5/2012,200.8,205.6,200.15,201.55,203.1716088,2954609,26866,600292664,770591,26.08,5.45,0.75
1/6/2012,199.5,204.65,198.35,203.15,201.5307687,2154123,23524,434122064,544164,25.26,6.3,3.65
1/7/2012,203.4,204.15,203.2,203.55,203.7078053,186629,1919,38017784,47267,25.33,0.95,0.15
1/9/2012,202,202.6,198.15,200.45,200.4274894,2041866,21310,409246076,803710,39.36,4.45,-1.55
1/10/2012,201.3,206.25,201.1,204.95,204.1824404,2072507,18812,423169537,987161,47.63,5.15,3.65
1/11/2012,206.05,207.4,201.75,204.65,204.6448603,2079956,20640,425652305,592877,28.5,5.65,-1.4
1/12/2012,204,209.6,203,206.25,205.1859644,1611706,14120,330699450,491729,30.51,6.6,2.25
1/13/2012,210.3,213,206.55,208.8,210.3052384,2842994,22527,597896531,950894,33.45,6.45,-1.5
1/16/2012,205.9,214.9,203.9,213.4,210.3425357,2540935,19263,534466711,723484,28.47,11,7.5
1/17/2012,217.5,221.45,216.15,217.3,218.7434331,3532654,27636,772744864,1119164,31.68,5.3,-0.2
1/18/2012,217.45,219.8,212.55,213.8,216.3815301,1753167,17684,379352958,210989,12.03,7.25,-3.65
1/19/2012,216.3,220,216.3,218.55,218.5974649,1627006,15600,355659387,572425,35.18,3.7,2.25
1/20/2012,219.5,221,215.7,218.9,218.2461355,1533700,13653,334724098,499515,32.57,5.3,-0.6
1/23/2012,220.55,223.25,217.55,218.9,219.4948827,1533905,12939,336684298,509245,33.2,5.7,-1.65
1/24/2012,219,224.3,216.5,222.05,221.5964682,2210703,15915,489883977,805134,36.42,7.8,3.05
1/25/2012,223,233.65,222.55,230.45,228.7351833,2952336,24348,675303116,792426,26.84,11.1,7.45
1/27/2012,234,240.9,232.55,239.9,238.1343868,3489413,21712,830949225,1642339,47.07,8.35,5.9
1/30/2012,238,238.6,231.5,234.1,234.3740607,2001576,16519,469117495,930974,46.51,7.1,-3.9
1/31/2012,235.9,244.8,235.3,243.6,239.3907987,1776728,17399,425332335,389969,21.95,9.5,7.7
2/1/2012,244.8,251.2,243.6,248.55,247.4333742,4964885,30226,1228478248,1176919,23.7,7.6,3.75
2/2/2012,252.7,252.7,244.75,246.1,247.2264611,2787918,22111,689247101,996974,35.76,7.95,-6.6
2/3/2012,246.5,250,240.6,247.95,246.1755396,2004374,17051,493427851,745215,37.18,9.4,1.45
2/6/2012,250.6,253,245.55,251.05,249.4861517,2611146,24772,651444767,873631,33.46,7.45,0.45
2/7/2012,254,254.9,248.3,250.25,251.1335554,2863553,16816,719134246,1279100,44.67,6.6,-3.75
2/8/2012,252,253.25,245.45,250.7,250.264582,1966169,18752,492062463,457033,23.24,7.8,-1.3
2/9/2012,248,258.3,248,257.15,255.005426,2287485,21280,583321087,611846,26.75,10.3,9.15
2/10/2012,255.9,261.8,255.25,257.1,258.7578147,1430248,15262,370087847,255049,17.83,6.55,1.2
2/13/2012,258,260.65,253.85,258.25,256.9772776,2205534,13327,566772123,766161,34.74,6.8,0.25
2/14/2012,259.5,272.4,258.85,267.9,265.5290148,4000115,34277,1062146595,948657,23.72,13.55,8.4
2/15/2012,278.25,292,278,286.4,286.666082,5656847,51553,1621626166,1385893,24.5,14,8.15
2/16/2012,283,284.35,274.2,275.9,277.922124,2331398,24856,647947084,739586,31.72,10.15,-7.1
2/17/2012,281,283.35,271.25,273.9,275.9203609,2622758,25461,723672334,695149,26.5,12.1,-7.1
2/21/2012,276,276,269.7,271.2,272.3259104,2441536,23007,664893514,766369,31.39,6.3,-4.8
2/22/2012,273,276,265,267.75,270.8719021,2801498,34089,758847092,992973,35.44,11,-5.25
2/23/2012,267.3,273.7,265.6,268.45,269.3888535,1727756,19599,465438208,456987,26.45,8.1,1.15
2/24/2012,269.85,271.55,263.1,265.4,267.0408397,989404,14939,264211275,177140,17.9,8.45,-4.45
2/27/2012,266.4,266.8,255.35,260.05,259.4008858,1672454,17464,433836049,638244,38.16,11.45,-6.35
2/28/2012,262.85,275,262,272.65,271.0662431,2395813,25857,649424029,762876,31.84,13,9.8
2/29/2012,276.25,278.6,267.45,270.8,272.4624936,1612857,20264,439443040,233951,14.51,11.15,-5.45
3/1/2012,269.75,273.95,266,267.65,269.6499829,1502078,20361,405035307,189892,12.64,7.95,-2.1
3/2/2012,269.15,271.9,264.65,267.45,268.0351994,1160646,15559,311093982,172873,14.89,7.25,-1.7
3/3/2012,266.8,268.4,266.55,267.85,267.6513078,1678664,1257,449296615,1608662,95.83,1.85,1.05
3/5/2012,267,275.2,266.1,273.45,271.6230472,2142788,21912,582030606,620250,28.95,9.1,6.45
3/6/2012,273.9,278.6,263,266,273.4073165,1261061,18504,344783304,220415,17.48,15.6,-7.9
3/7/2012,264.85,269.7,262.4,268,266.801623,1068113,14431,284974282,181666,17.01,7.3,3.15
3/9/2012,271.7,281,271.7,279.2,278.3297463,1529943,15668,425828647,597082,39.03,9.3,7.5
3/12/2012,282.1,285,277.05,283.5,281.5835646,1189697,10996,334999122,377818,31.76,7.95,1.4
3/13/2012,285.8,287.2,282.3,282.9,284.1227964,1069657,11026,303913938,391636,36.61,4.9,-2.9
3/14/2012,286.8,291.65,285.8,289.1,288.7299878,1688920,15459,487641851,652528,38.64,5.85,2.3
3/15/2012,289,294.15,284.25,289.4,289.1067223,2204937,19319,637462109,625395,28.36,9.9,0.4
3/16/2012,287.5,297.25,282.55,286.7,289.3764276,2669273,27558,772424685,479518,17.96,14.7,-0.8
3/19/2012,287.75,292.4,281.3,283.55,286.9710907,932089,11984,267482597,171965,18.45,11.1,-4.2
3/20/2012,284.05,285.9,269.7,271.6,275.6015252,1727557,18601,476117344,243483,14.09,16.2,-12.45
3/21/2012,271,277.7,264.25,276.25,270.9676549,2334422,27496,632552855,411516,17.63,13.45,5.25
3/22/2012,274,282.15,268.1,270.25,275.6959162,1829328,20762,504338259,392740,21.47,14.05,-3.75
3/23/2012,271.7,275.5,267.6,272.95,272.1739885,1037488,15473,282377247,162236,15.64,7.9,1.25
3/26/2012,273.4,273.4,266.35,268.1,268.6061883,966627,11379,259641994,226778,23.46,7.05,-5.3
3/27/2012,272.35,275.3,266.1,272.6,271.0729159,1378108,14038,373567754,446161,32.37,9.2,0.25
3/28/2012,272,272.45,268.4,271.25,270.7426527,1111560,9871,300946703,536962,48.31,4.05,-0.75
3/29/2012,269.75,273.1,267.25,271.95,270.0711655,911144,10861,246073722,336165,36.89,5.85,2.2
3/30/2012,273.55,276.5,272.75,275.7,275.3132558,1987794,10656,547266038,490751,24.69,3.75,2.15
4/2/2012,280,281,275.35,276.4,277.2789386,1744961,14040,483840934,672256,38.53,5.65,-3.6
4/3/2012,277.9,281,275.25,280.1,278.8165055,2059206,16525,574140621,1037069,50.36,5.75,2.2
4/4/2012,279.3,281.5,277.05,278.15,278.8204833,727169,8494,202749612,190264,26.17,4.45,-1.15
4/9/2012,276.6,278.8,273.85,275.75,275.6203488,495194,6565,136485543,100818,20.36,4.95,-0.85
4/10/2012,275.5,284.5,275.4,283.6,281.1326199,1417404,13533,398478500,491076,34.65,9.1,8.1
4/11/2012,281,286.25,280.75,282.35,283.3712037,1500338,14637,425152585,492142,32.8,5.5,1.35
4/12/2012,285,287,283.95,285.3,285.4429189,1104245,9357,315198916,446037,40.39,3.05,0.3
4/13/2012,287.5,294.25,287.25,289.1,291.0194462,1281688,12944,372996132,408811,31.9,7,1.6
4/16/2012,289.65,301.8,286.8,300.4,296.2964801,2084251,22212,617556235,543624,26.08,15,10.75
4/17/2012,302.05,304.8,296.45,301.45,301.2076334,1857957,21510,559630831,304757,16.4,8.35,-0.6
4/18/2012,303.5,310.65,303.5,309.6,308.1725445,1429214,20781,440444515,312083,21.84,7.15,6.1
4/19/2012,310.9,320,309.65,319.35,316.3549264,2250523,24486,711964038,351662,15.63,10.35,8.45
4/20/2012,317.75,320.6,312.5,316.7,317.1354196,1577357,19757,500235774,261112,16.55,8.1,-1.05
4/23/2012,315.9,319.9,308.5,309.75,313.3091181,1020791,15323,319823128,271027,26.55,11.4,-6.15
4/24/2012,309.95,314.2,309,311.65,311.7143631,911619,10573,284164736,302531,33.19,5.2,1.7
4/25/2012,312.75,315,308.9,313.85,312.8632203,1360034,16989,425504617,544941,40.07,6.1,1.1
4/26/2012,316,316,310.1,311.95,312.7519488,686568,10571,214725480,218922,31.89,5.9,-4.05
4/27/2012,312.6,313.75,308,312.4,311.1598318,593061,9634,184536761,122186,20.6,5.75,-0.2
4/28/2012,312,314,311,313.05,312.6571586,47223,843,14764609,21418,45.36,3,1.05
4/30/2012,310.8,317.5,310.7,316.75,315.4087577,894804,10459,282229018,307772,34.4,6.8,5.95
5/2/2012,312.95,313,303.65,304.65,306.4431617,2021339,18439,619425514,932247,46.12,9.35,-8.3
5/3/2012,303.85,305.05,299.4,301.35,301.821761,740859,11418,223607368,95957,12.95,5.65,-2.5
5/4/2012,298.65,303.4,295.6,301.4,300.2254122,928326,13063,278707056,128709,13.86,7.8,2.75
5/7/2012,297.65,312,291.35,308.3,301.2897378,1133984,17542,341657742,178784,15.77,20.65,10.65
5/8/2012,308.9,309.65,295.1,296.35,301.8280049,1081426,15738,326404652,317981,29.4,14.55,-12.55
5/9/2012,290.65,297.55,290,293,293.9272863,799891,13263,235109791,101787,12.73,7.55,2.35
5/10/2012,293.9,297.1,287.5,289.7,292.9339907,650317,8752,190499954,90568,13.93,9.6,-4.2
5/11/2012,288.8,301.8,287.9,297.4,295.9645119,1208461,14340,357661570,254552,21.06,13.9,8.6
5/14/2012,297.65,300.65,286.1,290.2,292.6034663,775054,10099,226783487,139162,17.96,14.55,-7.45
5/15/2012,288.8,292.2,284.95,290.3,289.1440808,1269565,13406,367087205,351532,27.69,7.25,1.5
5/16/2012,277,277.2,268,269,271.3321976,2242861,25415,608560404,868634,38.73,9.2,-8
5/17/2012,269.3,275.7,263.9,271.1,272.0955534,2207625,25843,600684946,645959,29.26,11.8,1.8
5/18/2012,265,266.75,256,260.1,260.3659743,1973898,27126,513935876,253295,12.83,10.75,-4.9
5/21/2012,262,264.1,258.1,261.75,261.7430188,1288433,16040,337238343,422106,32.76,6,-0.25
5/22/2012,266.5,269.4,263,264.8,266.8584425,1071084,13835,285827808,188764,17.62,6.4,-1.7
5/23/2012,261.15,265.25,259.1,261.65,262.0706542,892247,10799,233831755,216236,24.23,6.15,0.5
5/24/2012,262.5,268.1,256.8,267,262.8049748,1090813,14900,286671083,100465,9.21,11.3,4.5
5/25/2012,265,271.7,262.5,269.35,267.3195318,907243,13101,242523774,115464,12.73,9.2,4.35
5/28/2012,271,278,268.15,276.6,273.1645029,878088,13337,239862472,112182,12.78,9.85,5.6
5/29/2012,281,283.15,273.35,275.9,279.5862852,2134079,25732,596659220,560233,26.25,9.8,-5.1
5/30/2012,260,260,241.8,243.35,249.4563234,7196057,87620,1795101922,1890330,26.27,18.2,-16.65
5/31/2012,238.85,238.85,230.2,233.2,234.6501519,4921579,61815,1154849260,1203675,24.46,8.65,-5.65
6/1/2012,235,236.2,222.55,224.5,230.2085551,4355027,55877,1002564473,825524,18.96,13.65,-10.5
6/4/2012,221,230,217,228.75,225.6171229,3263285,40480,736252973,764820,23.44,13,7.75
6/5/2012,229.3,229.45,221.15,221.55,224.6498896,2919096,34086,655774594,535734,18.35,8.3,-7.75
6/6/2012,223,236.3,223,234.2,231.4126969,4285550,51162,991730683,1040568,24.28,13.3,11.2
6/7/2012,235.5,238.8,232.05,236.5,235.8374298,2231891,29168,526363437,389666,17.46,6.75,1
6/8/2012,234.4,239.85,232.8,238.9,236.0553688,1602238,23016,378216882,287165,17.92,7.05,4.5
6/11/2012,242.1,243.8,234.1,235.55,239.8944502,1486038,21399,356492269,381373,25.66,9.7,-6.55
6/12/2012,232.7,243.75,232.2,242.95,239.7134284,1996206,24278,478517384,327084,16.39,11.55,10.25
6/13/2012,244,244.05,236.6,237.85,238.8089361,1863549,25705,445032154,275970,14.81,7.45,-6.15
6/14/2012,237.1,239.5,226,227,231.3078302,2143318,28472,495766236,538441,25.12,13.5,-10.1
6/15/2012,228,241.45,228,240.05,236.1230214,3343426,41949,789459849,516949,15.46,13.45,12.05
6/18/2012,243,247.8,234.2,238,241.3391902,3070360,38977,740998196,535594,17.44,13.6,-5
6/19/2012,238,242.55,236.2,238.3,239.1646847,1520050,22500,363542279,224614,14.78,6.35,0.3
6/20/2012,240.55,247,239.85,245.6,244.5569888,1796415,28708,439325843,385495,21.46,7.15,5.05
6/21/2012,244.2,249.9,242.75,248.1,246.6238059,1692020,22875,417292412,402136,23.77,7.15,3.9
6/22/2012,244.5,251.2,242.5,247,247.2108095,2588066,32283,639797891,340108,13.14,8.7,2.5
6/25/2012,248.4,251.85,245,245.9,248.790866,1222905,17038,304247594,302383,24.73,6.85,-2.5
6/26/2012,245.8,248.75,244.2,246.6,246.8090018,716143,11806,176750539,80833,11.29,4.55,0.8
